Herrialdea,Title,Latitude,Longitude,Taldea,Kontaktua,Herria,Arroba,Luzapena
Álava,Alegría-Dulantzi,42.84149,-2.513507,EZ,Alegría-Dulantzi@altxaburu.eus,Alegría-Dulantzi,@,altxaburu.eus
Álava,Amurrio,43.05265,-3.001022,EZ,Amurrio@altxaburu.eus,Amurrio,@,altxaburu.eus
Álava,Añana,42.80235,-2.982607,EZ,Añana@altxaburu.eus,Añana,@,altxaburu.eus
Álava,Aramaio,43.054,-2.566,EZ,Aramaio@altxaburu.eus,Aramaio,@,altxaburu.eus
Álava,Armiñón,42.72305,-2.872574,EZ,Armiñón@altxaburu.eus,Armiñón,@,altxaburu.eus
Álava,Arraia-Maeztu,42.73981,-2.44598,EZ,Arraia-Maeztu@altxaburu.eus,Arraia-Maeztu,@,altxaburu.eus
Álava,Arrazua-Ubarrundia,42.89028,-2.639167,EZ,Arrazua-Ubarrundia@altxaburu.eus,Arrazua-Ubarrundia,@,altxaburu.eus
Álava,Artziniega,43.1222,-3.128209,EZ,Artziniega@altxaburu.eus,Artziniega,@,altxaburu.eus
Álava,Asparrena,42.89567,-2.321,EZ,Asparrena@altxaburu.eus,Asparrena,@,altxaburu.eus
Álava,Ayala/Aiara,43.08333,-3.063056,EZ,Ayala/Aiara@altxaburu.eus,Ayala/Aiara,@,altxaburu.eus
Álava,Baños de Ebro/Mañueta,42.53029,-2.679144,EZ,Baños de Ebro/Mañueta@altxaburu.eus,Baños de Ebro/Mañueta,@,altxaburu.eus
Álava,Barrundia,42.91669,-2.491817,EZ,Barrundia@altxaburu.eus,Barrundia,@,altxaburu.eus
Álava,Berantevilla,42.68245,-2.860401,EZ,Berantevilla@altxaburu.eus,Berantevilla,@,altxaburu.eus
Álava,Bernedo,42.62669,-2.497532,EZ,Bernedo@altxaburu.eus,Bernedo,@,altxaburu.eus
Álava,Campezo/Kanpezu,42.69194,-2.37,EZ,Campezo/Kanpezu@altxaburu.eus,Campezo/Kanpezu,@,altxaburu.eus
Álava,Elburgo/Burgelu,42.84956,-2.544762,EZ,Elburgo/Burgelu@altxaburu.eus,Elburgo/Burgelu,@,altxaburu.eus
Álava,Elciego,42.51507,-2.618277,EZ,Elciego@altxaburu.eus,Elciego,@,altxaburu.eus
Álava,Elvillar/Bilar,42.5705,-2.544915,EZ,Elvillar/Bilar@altxaburu.eus,Elvillar/Bilar,@,altxaburu.eus
Álava,Erriberagoitia/Ribera Alta,42.71577,-2.968477,EZ,Erriberagoitia/Ribera Alta@altxaburu.eus,Erriberagoitia/Ribera Alta,@,altxaburu.eus
Álava,Harana/Valle de Arana,42.75673,-2.321858,EZ,Harana/Valle de Arana@altxaburu.eus,Harana/Valle de Arana,@,altxaburu.eus
Álava,Iruña Oka/Iruña de Oca,42.81917,-2.807778,EZ,Iruña Oka/Iruña de Oca@altxaburu.eus,Iruña Oka/Iruña de Oca,@,altxaburu.eus
Álava,Iruraiz-Gauna,42.82207,-2.495043,EZ,Iruraiz-Gauna@altxaburu.eus,Iruraiz-Gauna,@,altxaburu.eus
Álava,Kripan,42.59167,-2.516079,EZ,Kripan@altxaburu.eus,Kripan,@,altxaburu.eus
Álava,Kuartango,42.87139,-2.885556,EZ,Kuartango@altxaburu.eus,Kuartango,@,altxaburu.eus
Álava,Labastida/Bastida,42.59042,-2.793166,EZ,Labastida/Bastida@altxaburu.eus,Labastida/Bastida,@,altxaburu.eus
Álava,Lagrán,42.6264,-2.58382,EZ,Lagrán@altxaburu.eus,Lagrán,@,altxaburu.eus
Álava,Laguardia,42.55428,-2.584237,EZ,Laguardia@altxaburu.eus,Laguardia,@,altxaburu.eus
Álava,Lanciego/Lantziego,42.56262,-2.513204,EZ,Lanciego/Lantziego@altxaburu.eus,Lanciego/Lantziego,@,altxaburu.eus
Álava,Lantarón,42.75667,-2.987556,EZ,Lantarón@altxaburu.eus,Lantarón,@,altxaburu.eus
Álava,Lapuebla de Labarca,42.49467,-2.575167,EZ,Lapuebla de Labarca@altxaburu.eus,Lapuebla de Labarca,@,altxaburu.eus
Álava,Laudio/Llodio,43.14333,-2.962985,EZ,Laudio/Llodio@altxaburu.eus,Laudio/Llodio,@,altxaburu.eus
Álava,Legutiano,42.97782,-2.642724,EZ,Legutiano@altxaburu.eus,Legutiano,@,altxaburu.eus
Álava,Leza,42.56607,-2.633635,EZ,Leza@altxaburu.eus,Leza,@,altxaburu.eus
Álava,Moreda de Álava,42.52802,-2.40767,EZ,Moreda de Álava@altxaburu.eus,Moreda de Álava,@,altxaburu.eus
Álava,Navaridas,42.54517,-2.624532,EZ,Navaridas@altxaburu.eus,Navaridas,@,altxaburu.eus
Álava,Okondo,43.16222,-3.018889,EZ,Okondo@altxaburu.eus,Okondo,@,altxaburu.eus
Álava,Oyón-Oion,42.50614,-2.436965,EZ,Oyón-Oion@altxaburu.eus,Oyón-Oion,@,altxaburu.eus
Álava,Peñacerrada-Urizaharra,42.6441,-2.713375,EZ,Peñacerrada-Urizaharra@altxaburu.eus,Peñacerrada-Urizaharra,@,altxaburu.eus
Álava,Ribera Baja/Erribera Beitia,42.71267,-2.918541,EZ,Ribera Baja/Erribera Beitia@altxaburu.eus,Ribera Baja/Erribera Beitia,@,altxaburu.eus
Álava,Salvatierra/Agurain,42.85244,-2.389455,EZ,Salvatierra/Agurain@altxaburu.eus,Salvatierra/Agurain,@,altxaburu.eus
Álava,Samaniego,42.56983,-2.680185,EZ,Samaniego@altxaburu.eus,Samaniego,@,altxaburu.eus
Álava,San Millán/Donemiliaga,42.87472,-2.376111,EZ,San Millán/Donemiliaga@altxaburu.eus,San Millán/Donemiliaga,@,altxaburu.eus
Álava,Urkabustaiz,42.97194,-2.922222,EZ,Urkabustaiz@altxaburu.eus,Urkabustaiz,@,altxaburu.eus
Álava,Valdegovía/Gaubea,42.85,-3.10,EZ,Valdegovía/Gaubea@altxaburu.eus,Valdegovía/Gaubea,@,altxaburu.eus
Álava,Villabuena de Álava/Eskuernaga,42.54872,-2.665456,EZ,Villabuena de Álava/Eskuernaga@altxaburu.eus,Villabuena de Álava/Eskuernaga,@,altxaburu.eus
Álava,Vitoria-Gasteiz,42.84641,-2.667893,EZ,Vitoria-Gasteiz@altxaburu.eus,Vitoria-Gasteiz,@,altxaburu.eus
Álava,Yécora/Iekora,42.5693,-2.470064,EZ,Yécora/Iekora@altxaburu.eus,Yécora/Iekora,@,altxaburu.eus
Álava,Zalduondo,42.88563,-2.347254,EZ,Zalduondo@altxaburu.eus,Zalduondo,@,altxaburu.eus
Álava,Zambrana,42.65998,-2.879353,EZ,Zambrana@altxaburu.eus,Zambrana,@,altxaburu.eus
Álava,Zigoitia,42.9682,-2.7183,EZ,Zigoitia@altxaburu.eus,Zigoitia,@,altxaburu.eus
Álava,Zuia,42.98167,-2.844,EZ,Zuia@altxaburu.eus,Zuia,@,altxaburu.eus
Guipúzcoa,Abaltzisketa,43.04758,-2.105388,EZ,Abaltzisketa@altxaburu.eus,Abaltzisketa,@,altxaburu.eus
Guipúzcoa,Aduna,43.20379,-2.050079,EZ,Aduna@altxaburu.eus,Aduna,@,altxaburu.eus
Guipúzcoa,Aia,43.23692,-2.149008,EZ,Aia@altxaburu.eus,Aia,@,altxaburu.eus
Guipúzcoa,Aizarnazabal,43.25541,-2.236461,EZ,Aizarnazabal@altxaburu.eus,Aizarnazabal,@,altxaburu.eus
Guipúzcoa,Albiztur,43.12972,-2.13718,EZ,Albiztur@altxaburu.eus,Albiztur,@,altxaburu.eus
Guipúzcoa,Alegia,43.10002,-2.096273,EZ,Alegia@altxaburu.eus,Alegia,@,altxaburu.eus
Guipúzcoa,Alkiza,43.17244,-2.109436,EZ,Alkiza@altxaburu.eus,Alkiza,@,altxaburu.eus
Guipúzcoa,Altzaga,43.06449,-2.153833,EZ,Altzaga@altxaburu.eus,Altzaga,@,altxaburu.eus
Guipúzcoa,Altzo,43.10007,-2.083905,EZ,Altzo@altxaburu.eus,Altzo,@,altxaburu.eus
Guipúzcoa,Amezketa,43.04452,-2.083235,EZ,Amezketa@altxaburu.eus,Amezketa,@,altxaburu.eus
Guipúzcoa,Andoain,43.22048,-2.021122,EZ,Andoain@altxaburu.eus,Andoain,@,altxaburu.eus
